County,n,long,lat,group,order,region
marion,3,-82.29393005371094,28.951557159423828,331,13684,florida
marion,3,-82.32257843017578,28.974475860595703,331,13685,florida
marion,3,-82.42570495605469,29.01458168029785,331,13686,florida
marion,3,-82.46581268310547,29.043231964111328,331,13687,florida
marion,3,-82.50592803955078,29.048961639404297,331,13688,florida
marion,3,-82.52310943603516,29.043231964111328,331,13689,florida
marion,3,-82.52310943603516,29.215116500854492,331,13690,florida
marion,3,-82.40852355957031,29.22084617614746,331,13691,florida
marion,3,-82.40852355957031,29.478679656982422,331,13692,florida
marion,3,-82.213714599609375,29.478679656982422,331,13693,florida
marion,3,-82.1907958984375,29.46721839904785,331,13694,florida
marion,3,-82.1907958984375,29.455760955810547,331,13695,florida
marion,3,-82.20225524902344,29.461488723754883,331,13696,florida
marion,3,-82.213714599609375,29.450031280517578,331,13697,florida
marion,3,-82.19652557373047,29.4213809967041,331,13698,florida
marion,3,-82.1736068725586,29.4213809967041,331,13699,florida
marion,3,-82.12776947021484,29.432842254638672,331,13700,florida
marion,3,-82.10485076904297,29.432842254638672,331,13701,florida
marion,3,-82.08766174316406,29.4213809967041,331,13702,florida
marion,3,-82.076202392578125,29.432842254638672,331,13703,florida
marion,3,-82.04756164550781,29.444299697875977,331,13704,florida
marion,3,-82.04756164550781,29.455760955810547,331,13705,florida
marion,3,-82.030364990234375,29.46721839904785,331,13706,florida
marion,3,-82.01890563964844,29.495868682861328,331,13707,florida
marion,3,-81.83556365966797,29.5130558013916,331,13708,florida
marion,3,-81.83556365966797,29.478679656982422,331,13709,florida
marion,3,-81.78399658203125,29.478679656982422,331,13710,florida
marion,3,-81.78399658203125,29.4213809967041,331,13711,florida
marion,3,-81.74961853027344,29.4213809967041,331,13712,florida
marion,3,-81.74961853027344,29.364086151123047,331,13713,florida
marion,3,-81.68087005615234,29.364086151123047,331,13714,florida
marion,3,-81.65794372558594,29.341167449951172,331,13715,florida
marion,3,-81.6636734008789,29.329710006713867,331,13716,florida
martin,1,-80.2140884399414,27.25560188293457,332,13718,florida
martin,1,-80.19690704345703,27.198307037353516,332,13719,florida
martin,1,-80.20835876464844,27.169658660888672,332,13720,florida
martin,1,-80.20835876464844,27.152469635009766,332,13721,florida
martin,1,-80.1797103881836,27.141010284423828,332,13722,florida
martin,1,-80.15106964111328,27.13528060913086,332,13723,florida
martin,1,-80.13387298583984,27.118093490600586,332,13724,florida
martin,1,-80.11669158935547,27.077985763549805,332,13725,florida
martin,1,-80.0937728881836,27.01496124267578,332,13726,florida
martin,1,-80.082305908203125,26.957664489746094,332,13727,florida
martin,1,-80.15106964111328,26.957664489746094,332,13728,florida
martin,1,-80.15106964111328,26.946205139160156,332,13729,florida
martin,1,-80.60943603515625,26.946205139160156,332,13730,florida
martin,1,-80.61515808105469,26.96912384033203,332,13731,florida
martin,1,-80.626617431640625,27.00922966003418,332,13732,florida
martin,1,-80.65526580810547,27.05506706237793,332,13733,florida
martin,1,-80.64954376220703,27.077985763549805,332,13734,florida
martin,1,-80.65526580810547,27.100902557373047,332,13735,florida
martin,1,-80.67818450927734,27.13528060913086,332,13736,florida
martin,1,-80.672454833984375,27.20403480529785,332,13737,florida
martin,1,-80.28857421875,27.20403480529785,332,13738,florida
martin,1,-80.28857421875,27.25560188293457,332,13739,florida
martin,1,-80.2140884399414,27.25560188293457,332,13740,florida
monroe,1,-81.38292694091797,25.800289154052734,333,13742,florida
monroe,1,-80.89018249511719,25.794559478759766,333,13743,florida
monroe,1,-80.89591217041016,25.181495666503906,333,13744,florida
monroe,1,-80.94747161865234,25.147117614746094,333,13745,florida
monroe,1,-80.96466827392578,25.141387939453125,333,13746,florida
